"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.75,0.3,0.55,2020-02-07,0.35,1,6.18864198120665
0.76,0.3,0.55,2020-02-07,0.35,1,6.23711233500175
0.77,0.3,0.55,2020-02-07,0.35,1,6.28572453999277
0.78,0.3,0.55,2020-02-07,0.35,1,6.33446859007572
0.79,0.3,0.55,2020-02-07,0.35,1,6.38330653128159
0.8,0.3,0.55,2020-02-07,0.35,1,6.43220636780826
0.81,0.3,0.55,2020-02-07,0.35,1,6.48114475505765
0.82,0.3,0.55,2020-02-07,0.35,1,6.5301085326943
0.83,0.3,0.55,2020-02-07,0.35,1,6.57906605144444
0.84,0.3,0.55,2020-02-07,0.35,1,6.62798433678622
0.85,0.3,0.55,2020-02-07,0.35,1,6.6768333680713
0.86,0.3,0.55,2020-02-07,0.35,1,6.72562618856541
0.87,0.3,0.55,2020-02-07,0.35,1,6.77431871742942
0.88,0.3,0.55,2020-02-07,0.35,1,6.82285350556478
0.89,0.3,0.55,2020-02-07,0.35,1,6.87127294537692
0.9,0.3,0.55,2020-02-07,0.35,1,6.91947898919951
0.91,0.3,0.55,2020-02-07,0.35,1,6.9675204626125
0.92,0.3,0.55,2020-02-07,0.35,1,7.01530374236849
0.93,0.3,0.55,2020-02-07,0.35,1,7.06285498911021
0.94,0.3,0.55,2020-02-07,0.35,1,7.11011676719573
0.95,0.3,0.55,2020-02-07,0.35,1,7.15709994502977
0.55,0.1,0.6,2020-02-07,0.35,1,5.63556434861225
0.56,0.1,0.6,2020-02-07,0.35,1,5.55732083222157
0.57,0.1,0.6,2020-02-07,0.35,1,5.48070350871946
0.58,0.1,0.6,2020-02-07,0.35,1,5.4057545100083
0.59,0.1,0.6,2020-02-07,0.35,1,5.33250980072071
0.6,0.1,0.6,2020-02-07,0.35,1,5.26100558815033
0.61,0.1,0.6,2020-02-07,0.35,1,5.19128661104526
0.62,0.1,0.6,2020-02-07,0.35,1,5.12338360040253
0.63,0.1,0.6,2020-02-07,0.35,1,5.05733995793421
0.64,0.1,0.6,2020-02-07,0.35,1,4.99320299053448
0.65,0.1,0.6,2020-02-07,0.35,1,4.93100502913317
0.66,0.1,0.6,2020-02-07,0.35,1,4.87079357011156
0.67,0.1,0.6,2020-02-07,0.35,1,4.81260260959199
0.68,0.1,0.6,2020-02-07,0.35,1,4.75647573717818
0.69,0.1,0.6,2020-02-07,0.35,1,4.70245235460119
0.7,0.1,0.6,2020-02-07,0.35,1,4.65057127164341
0.71,0.1,0.6,2020-02-07,0.35,1,4.60087056905694
0.72,0.1,0.6,2020-02-07,0.35,1,4.55338822928407
0.73,0.1,0.6,2020-02-07,0.35,1,4.50815559126198
0.74,0.1,0.6,2020-02-07,0.35,1,4.46521035246495
0.75,0.1,0.6,2020-02-07,0.35,1,4.42459139469933
0.76,0.1,0.6,2020-02-07,0.35,1,4.38631580408779
0.77,0.1,0.6,2020-02-07,0.35,1,4.35041635948625
0.78,0.1,0.6,2020-02-07,0.35,1,4.31691670102396
0.79,0.1,0.6,2020-02-07,0.35,1,4.28583652269743
0.8,0.1,0.6,2020-02-07,0.35,1,4.25719843187147
0.81,0.1,0.6,2020-02-07,0.35,1,4.23102041110541
0.82,0.1,0.6,2020-02-07,0.35,1,4.20732021772887
0.83,0.1,0.6,2020-02-07,0.35,1,4.18608443573406
0.84,0.1,0.6,2020-02-07,0.35,1,4.16732839610499
0.85,0.1,0.6,2020-02-07,0.35,1,4.15104699221811
0.86,0.1,0.6,2020-02-07,0.35,1,4.13724034383834
0.87,0.1,0.6,2020-02-07,0.35,1,4.12589970700706
0.88,0.1,0.6,2020-02-07,0.35,1,4.11700731333669
0.89,0.1,0.6,2020-02-07,0.35,1,4.11054470238592
0.9,0.1,0.6,2020-02-07,0.35,1,4.1065021026155
0.91,0.1,0.6,2020-02-07,0.35,1,4.10484287543091
0.92,0.1,0.6,2020-02-07,0.35,1,4.10554175896516
0.93,0.1,0.6,2020-02-07,0.35,1,4.10856258777138
0.94,0.1,0.6,2020-02-07,0.35,1,4.11385737677628
0.95,0.1,0.6,2020-02-07,0.35,1,4.12141160312194
0.55,0.2,0.6,2020-02-07,0.35,1,4.43485187868238
0.56,0.2,0.6,2020-02-07,0.35,1,4.42538497911689
0.57,0.2,0.6,2020-02-07,0.35,1,4.41823457408441
0.58,0.2,0.6,2020-02-07,0.35,1,4.41337957567417
0.59,0.2,0.6,2020-02-07,0.35,1,4.41079005833235
0.6,0.2,0.6,2020-02-07,0.35,1,4.41044165161385
0.61,0.2,0.6,2020-02-07,0.35,1,4.4122955187483
0.62,0.2,0.6,2020-02-07,0.35,1,4.41632779170994
0.63,0.2,0.6,2020-02-07,0.35,1,4.42248525634993
0.64,0.2,0.6,2020-02-07,0.35,1,4.43074338460687
0.65,0.2,0.6,2020-02-07,0.35,1,4.4410518761445
0.66,0.2,0.6,2020-02-07,0.35,1,4.45333993267543
0.67,0.2,0.6,2020-02-07,0.35,1,4.46763638517758
0.68,0.2,0.6,2020-02-07,0.35,1,4.48378212356662
0.69,0.2,0.6,2020-02-07,0.35,1,4.50185131195088
0.7,0.2,0.6,2020-02-07,0.35,1,4.52170586922648
0.71,0.2,0.6,2020-02-07,0.35,1,4.54331714489627
0.72,0.2,0.6,2020-02-07,0.35,1,4.56663325286958
0.73,0.2,0.6,2020-02-07,0.35,1,4.59159403455085
0.74,0.2,0.6,2020-02-07,0.35,1,4.61816281295034
0.75,0.2,0.6,2020-02-07,0.35,1,4.64626187852251
0.76,0.2,0.6,2020-02-07,0.35,1,4.67584648439869
0.77,0.2,0.6,2020-02-07,0.35,1,4.7068579369816
0.78,0.2,0.6,2020-02-07,0.35,1,4.73923694176876
0.79,0.2,0.6,2020-02-07,0.35,1,4.77294160419941
0.8,0.2,0.6,2020-02-07,0.35,1,4.80788694319293
0.81,0.2,0.6,2020-02-07,0.35,1,4.84406663066026
0.82,0.2,0.6,2020-02-07,0.35,1,4.88138760607729
0.83,0.2,0.6,2020-02-07,0.35,1,4.9198041416655
0.84,0.2,0.6,2020-02-07,0.35,1,4.95928286298862
0.85,0.2,0.6,2020-02-07,0.35,1,4.99977069133389
0.86,0.2,0.6,2020-02-07,0.35,1,5.04119378589552
0.87,0.2,0.6,2020-02-07,0.35,1,5.08351867227411
0.88,0.2,0.6,2020-02-07,0.35,1,5.12672724002237
0.89,0.2,0.6,2020-02-07,0.35,1,5.17072830612124
0.9,0.2,0.6,2020-02-07,0.35,1,5.21549269642456
0.91,0.2,0.6,2020-02-07,0.35,1,5.26096990912708
0.92,0.2,0.6,2020-02-07,0.35,1,5.30713438775396
0.93,0.2,0.6,2020-02-07,0.35,1,5.3539556806638
0.94,0.2,0.6,2020-02-07,0.35,1,5.40136325994807
0.95,0.2,0.6,2020-02-07,0.35,1,5.44933115532137
0.55,0.3,0.6,2020-02-07,0.35,1,5.29510906782662
0.56,0.3,0.6,2020-02-07,0.35,1,5.33428633274455
0.57,0.3,0.6,2020-02-07,0.35,1,5.37423046464189
0.58,0.3,0.6,2020-02-07,0.35,1,5.41499672966761
0.59,0.3,0.6,2020-02-07,0.35,1,5.45648224164206
0.6,0.3,0.6,2020-02-07,0.35,1,5.49863918947814
0.61,0.3,0.6,2020-02-07,0.35,1,5.54143800268942
0.62,0.3,0.6,2020-02-07,0.35,1,5.58484043514883
0.63,0.3,0.6,2020-02-07,0.35,1,5.62881088889623
0.64,0.3,0.6,2020-02-07,0.35,1,5.67328707437115
0.65,0.3,0.6,2020-02-07,0.35,1,5.71827142535667
0.66,0.3,0.6,2020-02-07,0.35,1,5.76373216147434
0.67,0.3,0.6,2020-02-07,0.35,1,5.80959094704437
0.68,0.3,0.6,2020-02-07,0.35,1,5.85583470357725
0.69,0.3,0.6,2020-02-07,0.35,1,5.90248078378225
0.7,0.3,0.6,2020-02-07,0.35,1,5.94946528083975
0.71,0.3,0.6,2020-02-07,0.35,1,5.99677849959457
0.72,0.3,0.6,2020-02-07,0.35,1,6.04438327619064
0.73,0.3,0.6,2020-02-07,0.35,1,6.09224870899466
0.74,0.3,0.6,2020-02-07,0.35,1,6.14032903068111
0.75,0.3,0.6,2020-02-07,0.35,1,6.18864198120665
0.76,0.3,0.6,2020-02-07,0.35,1,6.23711233500175
0.77,0.3,0.6,2020-02-07,0.35,1,6.28572453999277
0.78,0.3,0.6,2020-02-07,0.35,1,6.33446859007572
0.79,0.3,0.6,2020-02-07,0.35,1,6.38330653128159
0.8,0.3,0.6,2020-02-07,0.35,1,6.43220636780826
0.81,0.3,0.6,2020-02-07,0.35,1,6.48114475505765
0.82,0.3,0.6,2020-02-07,0.35,1,6.5301085326943
0.83,0.3,0.6,2020-02-07,0.35,1,6.57906605144444
0.84,0.3,0.6,2020-02-07,0.35,1,6.62798433678622
0.85,0.3,0.6,2020-02-07,0.35,1,6.6768333680713
0.86,0.3,0.6,2020-02-07,0.35,1,6.72562618856541
0.87,0.3,0.6,2020-02-07,0.35,1,6.77431871742942
0.88,0.3,0.6,2020-02-07,0.35,1,6.82285350556478
0.89,0.3,0.6,2020-02-07,0.35,1,6.87127294537692
0.9,0.3,0.6,2020-02-07,0.35,1,6.91947898919951
0.91,0.3,0.6,2020-02-07,0.35,1,6.9675204626125
0.92,0.3,0.6,2020-02-07,0.35,1,7.01530374236849
0.93,0.3,0.6,2020-02-07,0.35,1,7.06285498911021
0.94,0.3,0.6,2020-02-07,0.35,1,7.11011676719573
0.95,0.3,0.6,2020-02-07,0.35,1,7.15709994502977
0.55,0.1,0.65,2020-02-07,0.35,1,5.63556434861225
0.56,0.1,0.65,2020-02-07,0.35,1,5.55732083222157
0.57,0.1,0.65,2020-02-07,0.35,1,5.48070350871946
0.58,0.1,0.65,2020-02-07,0.35,1,5.4057545100083
0.59,0.1,0.65,2020-02-07,0.35,1,5.33250980072071
0.6,0.1,0.65,2020-02-07,0.35,1,5.26100558815033
0.61,0.1,0.65,2020-02-07,0.35,1,5.19128661104526
0.62,0.1,0.65,2020-02-07,0.35,1,5.12338360040253
0.63,0.1,0.65,2020-02-07,0.35,1,5.05733995793421
0.64,0.1,0.65,2020-02-07,0.35,1,4.99320299053448
0.65,0.1,0.65,2020-02-07,0.35,1,4.93100502913317
0.66,0.1,0.65,2020-02-07,0.35,1,4.87079357011156
0.67,0.1,0.65,2020-02-07,0.35,1,4.81260260959199
0.68,0.1,0.65,2020-02-07,0.35,1,4.75647573717818
0.69,0.1,0.65,2020-02-07,0.35,1,4.70245235460119
0.7,0.1,0.65,2020-02-07,0.35,1,4.65057127164341
0.71,0.1,0.65,2020-02-07,0.35,1,4.60087056905694
0.72,0.1,0.65,2020-02-07,0.35,1,4.55338822928407
0.73,0.1,0.65,2020-02-07,0.35,1,4.50815559126198
0.74,0.1,0.65,2020-02-07,0.35,1,4.46521035246495
0.75,0.1,0.65,2020-02-07,0.35,1,4.42459139469933
0.76,0.1,0.65,2020-02-07,0.35,1,4.38631580408779
0.77,0.1,0.65,2020-02-07,0.35,1,4.35041635948625
0.78,0.1,0.65,2020-02-07,0.35,1,4.31691670102396
0.79,0.1,0.65,2020-02-07,0.35,1,4.28583652269743
0.8,0.1,0.65,2020-02-07,0.35,1,4.25719843187147
0.81,0.1,0.65,2020-02-07,0.35,1,4.23102041110541
0.82,0.1,0.65,2020-02-07,0.35,1,4.20732021772887
0.83,0.1,0.65,2020-02-07,0.35,1,4.18608443573406
0.84,0.1,0.65,2020-02-07,0.35,1,4.16732839610499
0.85,0.1,0.65,2020-02-07,0.35,1,4.15104699221811
0.86,0.1,0.65,2020-02-07,0.35,1,4.13724034383834
0.87,0.1,0.65,2020-02-07,0.35,1,4.12589970700706
0.88,0.1,0.65,2020-02-07,0.35,1,4.11700731333669
0.89,0.1,0.65,2020-02-07,0.35,1,4.11054470238592
0.9,0.1,0.65,2020-02-07,0.35,1,4.1065021026155
0.91,0.1,0.65,2020-02-07,0.35,1,4.10484287543091
0.92,0.1,0.65,2020-02-07,0.35,1,4.10554175896516
0.93,0.1,0.65,2020-02-07,0.35,1,4.10856258777138
0.94,0.1,0.65,2020-02-07,0.35,1,4.11385737677628
0.95,0.1,0.65,2020-02-07,0.35,1,4.12141160312194
0.55,0.2,0.65,2020-02-07,0.35,1,4.43485187868238
0.56,0.2,0.65,2020-02-07,0.35,1,4.42538497911689
0.57,0.2,0.65,2020-02-07,0.35,1,4.41823457408441
0.58,0.2,0.65,2020-02-07,0.35,1,4.41337957567417
0.59,0.2,0.65,2020-02-07,0.35,1,4.41079005833235
0.6,0.2,0.65,2020-02-07,0.35,1,4.41044165161385
0.61,0.2,0.65,2020-02-07,0.35,1,4.4122955187483
0.62,0.2,0.65,2020-02-07,0.35,1,4.41632779170994
0.63,0.2,0.65,2020-02-07,0.35,1,4.42248525634993
0.64,0.2,0.65,2020-02-07,0.35,1,4.43074338460687
0.65,0.2,0.65,2020-02-07,0.35,1,4.4410518761445
0.66,0.2,0.65,2020-02-07,0.35,1,4.45333993267543
0.67,0.2,0.65,2020-02-07,0.35,1,4.46763638517758
0.68,0.2,0.65,2020-02-07,0.35,1,4.48378212356662
0.69,0.2,0.65,2020-02-07,0.35,1,4.50185131195088
0.7,0.2,0.65,2020-02-07,0.35,1,4.52170586922648
0.71,0.2,0.65,2020-02-07,0.35,1,4.54331714489627
0.72,0.2,0.65,2020-02-07,0.35,1,4.56663325286958
0.73,0.2,0.65,2020-02-07,0.35,1,4.59159403455085
0.74,0.2,0.65,2020-02-07,0.35,1,4.61816281295034
0.75,0.2,0.65,2020-02-07,0.35,1,4.64626187852251
0.76,0.2,0.65,2020-02-07,0.35,1,4.67584648439869
0.77,0.2,0.65,2020-02-07,0.35,1,4.7068579369816
0.78,0.2,0.65,2020-02-07,0.35,1,4.73923694176876
0.79,0.2,0.65,2020-02-07,0.35,1,4.77294160419941
0.8,0.2,0.65,2020-02-07,0.35,1,4.80788694319293
0.81,0.2,0.65,2020-02-07,0.35,1,4.84406663066026
0.82,0.2,0.65,2020-02-07,0.35,1,4.88138760607729
0.83,0.2,0.65,2020-02-07,0.35,1,4.9198041416655
0.84,0.2,0.65,2020-02-07,0.35,1,4.95928286298862
0.85,0.2,0.65,2020-02-07,0.35,1,4.99977069133389
0.86,0.2,0.65,2020-02-07,0.35,1,5.04119378589552
0.87,0.2,0.65,2020-02-07,0.35,1,5.08351867227411
0.88,0.2,0.65,2020-02-07,0.35,1,5.12672724002237
0.89,0.2,0.65,2020-02-07,0.35,1,5.17072830612124
0.9,0.2,0.65,2020-02-07,0.35,1,5.21549269642456
0.91,0.2,0.65,2020-02-07,0.35,1,5.26096990912708
0.92,0.2,0.65,2020-02-07,0.35,1,5.30713438775396
0.93,0.2,0.65,2020-02-07,0.35,1,5.3539556806638
0.94,0.2,0.65,2020-02-07,0.35,1,5.40136325994807
0.95,0.2,0.65,2020-02-07,0.35,1,5.44933115532137
0.55,0.3,0.65,2020-02-07,0.35,1,5.29510906782662
0.56,0.3,0.65,2020-02-07,0.35,1,5.33428633274455
0.57,0.3,0.65,2020-02-07,0.35,1,5.37423046464189
0.58,0.3,0.65,2020-02-07,0.35,1,5.41499672966761
0.59,0.3,0.65,2020-02-07,0.35,1,5.45648224164206
0.6,0.3,0.65,2020-02-07,0.35,1,5.49863918947814
0.61,0.3,0.65,2020-02-07,0.35,1,5.54143800268942
0.62,0.3,0.65,2020-02-07,0.35,1,5.58484043514883
0.63,0.3,0.65,2020-02-07,0.35,1,5.62881088889623
0.64,0.3,0.65,2020-02-07,0.35,1,5.67328707437115
0.65,0.3,0.65,2020-02-07,0.35,1,5.71827142535667
0.66,0.3,0.65,2020-02-07,0.35,1,5.76373216147434
0.67,0.3,0.65,2020-02-07,0.35,1,5.80959094704437
0.68,0.3,0.65,2020-02-07,0.35,1,5.85583470357725
0.69,0.3,0.65,2020-02-07,0.35,1,5.90248078378225
0.7,0.3,0.65,2020-02-07,0.35,1,5.94946528083975
0.71,0.3,0.65,2020-02-07,0.35,1,5.99677849959457
0.72,0.3,0.65,2020-02-07,0.35,1,6.04438327619064
0.73,0.3,0.65,2020-02-07,0.35,1,6.09224870899466
0.74,0.3,0.65,2020-02-07,0.35,1,6.14032903068111
0.75,0.3,0.65,2020-02-07,0.35,1,6.18864198120665
0.76,0.3,0.65,2020-02-07,0.35,1,6.23711233500175
0.77,0.3,0.65,2020-02-07,0.35,1,6.28572453999277
0.78,0.3,0.65,2020-02-07,0.35,1,6.33446859007572
0.79,0.3,0.65,2020-02-07,0.35,1,6.38330653128159
0.8,0.3,0.65,2020-02-07,0.35,1,6.43220636780826
0.81,0.3,0.65,2020-02-07,0.35,1,6.48114475505765
0.82,0.3,0.65,2020-02-07,0.35,1,6.5301085326943
0.83,0.3,0.65,2020-02-07,0.35,1,6.57906605144444
0.84,0.3,0.65,2020-02-07,0.35,1,6.62798433678622
0.85,0.3,0.65,2020-02-07,0.35,1,6.6768333680713
0.86,0.3,0.65,2020-02-07,0.35,1,6.72562618856541
0.87,0.3,0.65,2020-02-07,0.35,1,6.77431871742942
0.88,0.3,0.65,2020-02-07,0.35,1,6.82285350556478
0.89,0.3,0.65,2020-02-07,0.35,1,6.87127294537692
0.9,0.3,0.65,2020-02-07,0.35,1,6.91947898919951
0.91,0.3,0.65,2020-02-07,0.35,1,6.9675204626125
0.92,0.3,0.65,2020-02-07,0.35,1,7.01530374236849
0.93,0.3,0.65,2020-02-07,0.35,1,7.06285498911021
0.94,0.3,0.65,2020-02-07,0.35,1,7.11011676719573
0.95,0.3,0.65,2020-02-07,0.35,1,7.15709994502977
0.55,0.1,0.7,2020-02-07,0.35,1,5.63556434861225
0.56,0.1,0.7,2020-02-07,0.35,1,5.55732083222157
0.57,0.1,0.7,2020-02-07,0.35,1,5.48070350871946
0.58,0.1,0.7,2020-02-07,0.35,1,5.4057545100083
0.59,0.1,0.7,2020-02-07,0.35,1,5.33250980072071
0.6,0.1,0.7,2020-02-07,0.35,1,5.26100558815033
0.61,0.1,0.7,2020-02-07,0.35,1,5.19128661104526
0.62,0.1,0.7,2020-02-07,0.35,1,5.12338360040253
0.63,0.1,0.7,2020-02-07,0.35,1,5.05733995793421
0.64,0.1,0.7,2020-02-07,0.35,1,4.99320299053448
0.65,0.1,0.7,2020-02-07,0.35,1,4.93100502913317
0.66,0.1,0.7,2020-02-07,0.35,1,4.87079357011156
0.67,0.1,0.7,2020-02-07,0.35,1,4.81260260959199
0.68,0.1,0.7,2020-02-07,0.35,1,4.75647573717818
0.69,0.1,0.7,2020-02-07,0.35,1,4.70245235460119
0.7,0.1,0.7,2020-02-07,0.35,1,4.65057127164341
0.71,0.1,0.7,2020-02-07,0.35,1,4.60087056905694
0.72,0.1,0.7,2020-02-07,0.35,1,4.55338822928407
0.73,0.1,0.7,2020-02-07,0.35,1,4.50815559126198
0.74,0.1,0.7,2020-02-07,0.35,1,4.46521035246495
0.75,0.1,0.7,2020-02-07,0.35,1,4.42459139469933
0.76,0.1,0.7,2020-02-07,0.35,1,4.38631580408779
0.77,0.1,0.7,2020-02-07,0.35,1,4.35041635948625
0.78,0.1,0.7,2020-02-07,0.35,1,4.31691670102396
0.79,0.1,0.7,2020-02-07,0.35,1,4.28583652269743
0.8,0.1,0.7,2020-02-07,0.35,1,4.25719843187147
0.81,0.1,0.7,2020-02-07,0.35,1,4.23102041110541
0.82,0.1,0.7,2020-02-07,0.35,1,4.20732021772887
0.83,0.1,0.7,2020-02-07,0.35,1,4.18608443573406
0.84,0.1,0.7,2020-02-07,0.35,1,4.16732839610499
0.85,0.1,0.7,2020-02-07,0.35,1,4.15104699221811
0.86,0.1,0.7,2020-02-07,0.35,1,4.13724034383834
0.87,0.1,0.7,2020-02-07,0.35,1,4.12589970700706
0.88,0.1,0.7,2020-02-07,0.35,1,4.11700731333669
0.89,0.1,0.7,2020-02-07,0.35,1,4.11054470238592
0.9,0.1,0.7,2020-02-07,0.35,1,4.1065021026155
0.91,0.1,0.7,2020-02-07,0.35,1,4.10484287543091
0.92,0.1,0.7,2020-02-07,0.35,1,4.10554175896516
0.93,0.1,0.7,2020-02-07,0.35,1,4.10856258777138
0.94,0.1,0.7,2020-02-07,0.35,1,4.11385737677628
0.95,0.1,0.7,2020-02-07,0.35,1,4.12141160312194
0.55,0.2,0.7,2020-02-07,0.35,1,4.43485187868238
0.56,0.2,0.7,2020-02-07,0.35,1,4.42538497911689
0.57,0.2,0.7,2020-02-07,0.35,1,4.41823457408441
0.58,0.2,0.7,2020-02-07,0.35,1,4.41337957567417
0.59,0.2,0.7,2020-02-07,0.35,1,4.41079005833235
0.6,0.2,0.7,2020-02-07,0.35,1,4.41044165161385
0.61,0.2,0.7,2020-02-07,0.35,1,4.4122955187483
0.62,0.2,0.7,2020-02-07,0.35,1,4.41632779170994
0.63,0.2,0.7,2020-02-07,0.35,1,4.42248525634993
0.64,0.2,0.7,2020-02-07,0.35,1,4.43074338460687
0.65,0.2,0.7,2020-02-07,0.35,1,4.4410518761445
0.66,0.2,0.7,2020-02-07,0.35,1,4.45333993267543
0.67,0.2,0.7,2020-02-07,0.35,1,4.46763638517758
0.68,0.2,0.7,2020-02-07,0.35,1,4.48378212356662
0.69,0.2,0.7,2020-02-07,0.35,1,4.50185131195088
0.7,0.2,0.7,2020-02-07,0.35,1,4.52170586922648
0.71,0.2,0.7,2020-02-07,0.35,1,4.54331714489627
0.72,0.2,0.7,2020-02-07,0.35,1,4.56663325286958
0.73,0.2,0.7,2020-02-07,0.35,1,4.59159403455085
0.74,0.2,0.7,2020-02-07,0.35,1,4.61816281295034
0.75,0.2,0.7,2020-02-07,0.35,1,4.64626187852251
0.76,0.2,0.7,2020-02-07,0.35,1,4.67584648439869
0.77,0.2,0.7,2020-02-07,0.35,1,4.7068579369816
0.78,0.2,0.7,2020-02-07,0.35,1,4.73923694176876
0.79,0.2,0.7,2020-02-07,0.35,1,4.77294160419941
0.8,0.2,0.7,2020-02-07,0.35,1,4.80788694319293
0.81,0.2,0.7,2020-02-07,0.35,1,4.84406663066026
0.82,0.2,0.7,2020-02-07,0.35,1,4.88138760607729
0.83,0.2,0.7,2020-02-07,0.35,1,4.9198041416655
0.84,0.2,0.7,2020-02-07,0.35,1,4.95928286298862
0.85,0.2,0.7,2020-02-07,0.35,1,4.99977069133389
0.86,0.2,0.7,2020-02-07,0.35,1,5.04119378589552
0.87,0.2,0.7,2020-02-07,0.35,1,5.08351867227411
0.88,0.2,0.7,2020-02-07,0.35,1,5.12672724002237
0.89,0.2,0.7,2020-02-07,0.35,1,5.17072830612124
0.9,0.2,0.7,2020-02-07,0.35,1,5.21549269642456
0.91,0.2,0.7,2020-02-07,0.35,1,5.26096990912708
0.92,0.2,0.7,2020-02-07,0.35,1,5.30713438775396
0.93,0.2,0.7,2020-02-07,0.35,1,5.3539556806638
0.94,0.2,0.7,2020-02-07,0.35,1,5.40136325994807
0.95,0.2,0.7,2020-02-07,0.35,1,5.44933115532137
0.55,0.3,0.7,2020-02-07,0.35,1,5.29510906782662
0.56,0.3,0.7,2020-02-07,0.35,1,5.33428633274455
0.57,0.3,0.7,2020-02-07,0.35,1,5.37423046464189
0.58,0.3,0.7,2020-02-07,0.35,1,5.41499672966761
0.59,0.3,0.7,2020-02-07,0.35,1,5.45648224164206
0.6,0.3,0.7,2020-02-07,0.35,1,5.49863918947814
0.61,0.3,0.7,2020-02-07,0.35,1,5.54143800268942
0.62,0.3,0.7,2020-02-07,0.35,1,5.58484043514883
0.63,0.3,0.7,2020-02-07,0.35,1,5.62881088889623
0.64,0.3,0.7,2020-02-07,0.35,1,5.67328707437115
0.65,0.3,0.7,2020-02-07,0.35,1,5.71827142535667
0.66,0.3,0.7,2020-02-07,0.35,1,5.76373216147434
0.67,0.3,0.7,2020-02-07,0.35,1,5.80959094704437
0.68,0.3,0.7,2020-02-07,0.35,1,5.85583470357725
0.69,0.3,0.7,2020-02-07,0.35,1,5.90248078378225
0.7,0.3,0.7,2020-02-07,0.35,1,5.94946528083975
0.71,0.3,0.7,2020-02-07,0.35,1,5.99677849959457
0.72,0.3,0.7,2020-02-07,0.35,1,6.04438327619064
0.73,0.3,0.7,2020-02-07,0.35,1,6.09224870899466
0.74,0.3,0.7,2020-02-07,0.35,1,6.14032903068111
0.75,0.3,0.7,2020-02-07,0.35,1,6.18864198120665
0.76,0.3,0.7,2020-02-07,0.35,1,6.23711233500175
0.77,0.3,0.7,2020-02-07,0.35,1,6.28572453999277
0.78,0.3,0.7,2020-02-07,0.35,1,6.33446859007572
0.79,0.3,0.7,2020-02-07,0.35,1,6.38330653128159
0.8,0.3,0.7,2020-02-07,0.35,1,6.43220636780826
0.81,0.3,0.7,2020-02-07,0.35,1,6.48114475505765
0.82,0.3,0.7,2020-02-07,0.35,1,6.5301085326943
0.83,0.3,0.7,2020-02-07,0.35,1,6.57906605144444
0.84,0.3,0.7,2020-02-07,0.35,1,6.62798433678622
0.85,0.3,0.7,2020-02-07,0.35,1,6.6768333680713
0.86,0.3,0.7,2020-02-07,0.35,1,6.72562618856541
0.87,0.3,0.7,2020-02-07,0.35,1,6.77431871742942
0.88,0.3,0.7,2020-02-07,0.35,1,6.82285350556478
0.89,0.3,0.7,2020-02-07,0.35,1,6.87127294537692
0.9,0.3,0.7,2020-02-07,0.35,1,6.91947898919951
0.91,0.3,0.7,2020-02-07,0.35,1,6.9675204626125
0.92,0.3,0.7,2020-02-07,0.35,1,7.01530374236849
0.93,0.3,0.7,2020-02-07,0.35,1,7.06285498911021
0.94,0.3,0.7,2020-02-07,0.35,1,7.11011676719573
0.95,0.3,0.7,2020-02-07,0.35,1,7.15709994502977
0.55,0.1,0.75,2020-02-07,0.35,1,5.63556434861225
0.56,0.1,0.75,2020-02-07,0.35,1,5.55732083222157
0.57,0.1,0.75,2020-02-07,0.35,1,5.48070350871946
0.58,0.1,0.75,2020-02-07,0.35,1,5.4057545100083
0.59,0.1,0.75,2020-02-07,0.35,1,5.33250980072071
0.6,0.1,0.75,2020-02-07,0.35,1,5.26100558815033
0.61,0.1,0.75,2020-02-07,0.35,1,5.19128661104526
0.62,0.1,0.75,2020-02-07,0.35,1,5.12338360040253
0.63,0.1,0.75,2020-02-07,0.35,1,5.05733995793421
0.64,0.1,0.75,2020-02-07,0.35,1,4.99320299053448
0.65,0.1,0.75,2020-02-07,0.35,1,4.93100502913317
0.66,0.1,0.75,2020-02-07,0.35,1,4.87079357011156
0.67,0.1,0.75,2020-02-07,0.35,1,4.81260260959199
0.68,0.1,0.75,2020-02-07,0.35,1,4.75647573717818
0.69,0.1,0.75,2020-02-07,0.35,1,4.70245235460119
0.7,0.1,0.75,2020-02-07,0.35,1,4.65057127164341
0.71,0.1,0.75,2020-02-07,0.35,1,4.60087056905694
0.72,0.1,0.75,2020-02-07,0.35,1,4.55338822928407
0.73,0.1,0.75,2020-02-07,0.35,1,4.50815559126198
0.74,0.1,0.75,2020-02-07,0.35,1,4.46521035246495
0.75,0.1,0.75,2020-02-07,0.35,1,4.42459139469933
0.76,0.1,0.75,2020-02-07,0.35,1,4.38631580408779
0.77,0.1,0.75,2020-02-07,0.35,1,4.35041635948625
0.78,0.1,0.75,2020-02-07,0.35,1,4.31691670102396
0.79,0.1,0.75,2020-02-07,0.35,1,4.28583652269743
0.8,0.1,0.75,2020-02-07,0.35,1,4.25719843187147
0.81,0.1,0.75,2020-02-07,0.35,1,4.23102041110541
0.82,0.1,0.75,2020-02-07,0.35,1,4.20732021772887
0.83,0.1,0.75,2020-02-07,0.35,1,4.18608443573406
0.84,0.1,0.75,2020-02-07,0.35,1,4.16732839610499
0.85,0.1,0.75,2020-02-07,0.35,1,4.15104699221811
0.86,0.1,0.75,2020-02-07,0.35,1,4.13724034383834
